Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
F14,L - ??,Warming Device (Bair Hugger),,Clinton,,,,x
F77,L - ??,Personal Care,,,,,,x
F91,L - ??,Personal Care,No EXP,10/14/2011,,,,x
F92,L - ??,99 Anti-Embolism Stockings,No EXP,11/3/2011,,,,x
F96,L - ??,Personal Care,No EXP,12/13/2011,,,,x
F99,L - ??,Facial Tissues 55 boxes,No EXP,1/11/2012,,,,x
F100,L - ??,Facial Tissues 55 boxes,No EXP,1/11/2012,,,,x
F101,L - ??,Facial Tissues 55 boxes,No EXP,1/11/2012,,,,x
F110,L - ??,Facial Tissues 55 boxes,No EXP,1/11/2012,,,,x
F111,L - ??,Facial Tissues 55 boxes,No EXP,1/11/2012,,,,x
F117,L - ??,Facial Tissues 55 boxes,No EXP,1/11/2012,,,,x
F118,L - ??,Facial Tissues 55 boxes,No EXP,1/11/2012,,,,x
F119,L - ??,Facial Tissues 55 boxes,No EXP,1/11/2012,,,,x
F120,L - ??,35 Toothettes; 12 Body Wipes; 1 Sitz Bath; Shave Kits; Deodorant,2/2014,1/27/2012,,,,x
F121,L - 10 lbs.,Toothettes,No EXP,1/27/2012 (Updated 12/17/2012),,,,x
F122,L - ??,Patient Care: Abd. Binders; Come Castile Soap,No EXP,2/3/2012,,,,x
F123,L - ??,Personal Care,No EXP,2/27/2012,,,,x
F124,L - ??,"Oral Care: Suction Tubing, Catheters, Mouth Swabs",No EXP,2/28/2012,,,,x
F127,L - ??,Fixodent Toothpaste,No EXP,3/21/2012,,,,x
F128,L - ??,Assorted Personal Care Supplies,No EXP,4/17/2012,,,,x
F129,L - ??,"Personal Care: Towelettes; 4 Cushions; 1 Range of Motion Exerciser; Medicine Cups, Shower Caps",No EXP,4/30/2012,,,,x
F130,L - ??,Bladder Control Pads x10 Packs,No EXP,4/30/2012,,,,x
F131,L - ??,Bladder Control Pads x8 Packs,No EXP,4/30/2012,,,,x
F132,L - ??,Bladder Control Pads; Soap; Razors; Powder,No EXP,4/30/2012,,,,x
