Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
M1,L - ??,Sheets (Unsterile),,Clinton,,,,x
M5,L - ??,"Drapes, Sheets (assorted, unsterile)",,Clinton,,,,x
M7,L - ??,Sheets (Plastic),,Clinton,,,,x
M8,L - ??,Drapes (Unsterile),,,,,,x
M12,L - ??,???,,,,,,x
M19,L - ??,Sheets (Unsterile),,Clinton,,,,x
M20,L - ??,Underpads,,Clinton,,,,x
M24,L - ??,"Sheets (Paper, Unsterile)",,Clinton,,,,x
M29,L - ??,Sheets (Plastic),,Clinton,,,,x
M30,L - ??,Sheets (Unsterile),,Clinton,,,,x
M37,L - ??,Sheets (Unsterile),,Clinton,,,,x
M39,L - ??,Sheets (Plastic),,Clinton,,,,x
M57,L - ??,Plastic Sheets?,,,,,,x
M59,L - ??,"Gowns (Paper, Sterile)",,Clinton,,,,x
M66,L - ??,Plastics,,,,,,x
M76,L - ??,Plastics,,,,,,x
M91,L - ??,Plastics,,,,,,x
M96,L - ??,???,,,,,,x
M132,L - ??,???,,,,,,x
M143,L - ??,Plastics,,,,,,x
M157,L - ??,Plastics,,,,,,x
M178,S - ??,Plastics,,,,,,x
M179,S - ??,Plastics,,,,,,x
M204,L - ??,Misc. Tubing,,,,,,x
M221,L - ??,Pill Bottles,,,,,,x
M226,L - ??,Other Plastics,No EXP,Clinton,,,,NO
M240,L - ??,Plastic Trays (100),No EXP,11/9/2011,,,,x
M244,L - ??,Misc. Plastics,No EXP,11/16/2011,,,,x
M245,L - ??,Misc. Plastics,No EXP,11/16/2011,,,,x
M246,L - ??,Plastic Trays,No EXP,11/18/2011,,,,x
M248,L - ??,Plastic Basins; Emesis Basins,No EXP,12/27/2011,,,,x
M249,L - ??,Other Plastics: Sm. Blue Basins; Emesis Basins,No EXP,,,,,x
M250,L - ??,Other Plastics: Basins; Bowls; Emesis; Trays; Graduates,No EXP,1/12/2012,,,,NO
M251,L - ??,Other Plastics,No EXP,1/12/2012,,,,x
M252,L - ??,Other Plastics: Basins; Bowls; Graduates; Emesis,No EXP,1/12/2012,,,,x
M254,L - ??,Other Plastics: 36 Blue Basins; 17 Trays; 9 Misc.,No EXP,1/12/2012,,,,x
M255,L - ??,Blue Plastic Basins x36,No EXP,1/1/2012,,,,x
M256,L - ??,Other Plastics: 17 Trays; 14 Pink Basins; 1 urinal; 11 Misc.; 5 Trays,No EXP,1/12/2012,,,,x
M258,L - ??,"Assorted Basins, Trays, & Graduated Cups",No EXP,1/18/2012,,,,x
M259,L - ??,"Assorted Basins, Trays, & Bowls",No EXP,1/18/2012,,,,x
M262,L - ??,Pill Boxes; Pill Counter,No EXP,2/13/2012,,,,x
M263,L - ??,Plastics: Bowls; Pitchers; Blue Basins; Emesis Basins,No EXP,2/22/2012,,,,x
M264,L - ??,Plastics: 25 Lg. Rectangular Basins; 3 Pitchers; 15 Lg. Round Basins; 1 Bed Pan; 11 Trays,No EXP,3/1/2012,,,,x
M265,L - ??,Plastics: 18 Round Basins; 33 Emesis Basins; 10 Pitchers; 22 Wash Basins,No EXP,3/12/2012,,,,x
M266,L - ??,Plastic Trays x95,No EXP,3/12/2012,,,,x
M267,L - ??,Plastics: 20 Lg. Basins; 4 Pitchers; 30 Emesis Basins; 11 Wash Basins,No EXP,3/21/2012,,,,x
M268,S - ??,100 Amber Plastic Bottles for Liquid Medicines,No EXP,3/21/2012,,,,x
M269,L - ??,Plastics: 10 Bed Pans; 21 Round Basins; 15 Sm. Bowls; 5 Pitchers,No EXP,3/23/2012,,,,x
M270,L - ??,Plastics: 24 Round Basins; 2 Pitchers; 12 Emesis Basins; 13 Sm. Bowls; 1 Bed Pan,No EXP,3/23/2012,,,,x
M271,L - ??,Plastics: 26 Round Basins; 4 Wash Basins; 2 Pitchers; 10 Emesis Basins; 2 Urine Collectors; 16 Bowls,No EXP,4/5/2012,,,,x
M272,L - ??,Pill Bottles,No EXP,4/5/2012,,,,x
M273,L - ??,Plastics: 19 Wash Basins; 12 Sm. Rectangular Basins; 6 Sm. Basins; 3 Lg. Pitchers; 7 Sm. Pitchers,No EXP,4/11/2012,,,,x
M274,L - ??,Pink Wash Basins,No EXP,4/12/2012,,,,x
M275,L - ??,Plastic Trays,No EXP,4/12/2012,,,,x
M276,L - ??,Plastics: Basins; Emesis Basins; Pitchers; Sm. Bowls,No EXP,4/30/2012,,,,x
M277,L - ??,Plastics: Basins; Bowls; Trays; Square Basins; Sm. Bowls; Etc.,No EXP,5/7/2012,,,,x
M278,L - ??,Small Plastic Trays,No EXP,5/18/2012,,,,NO
M279,L - ??,Small Plastic Trays,No EXP,5/18/2012,,,,NO
M280,L - ??,Plastics: Basins; Emesis Basins; Pitchers; Sm. Bowls,No EXP,5/29/2012,,,,x
M281,L - ??,Plastic Exam Table Covers (Unsterile),No EXP,6/20/2012,,,,x
M282,L - ??,Urine Containers and Various Plastics,No EXP,6/20/2012,,,,x
M283,L - ??,Urine Containers and Various Plastics,No EXP,6/20/2012,,,,x
M284,L - ??,Brown Basins; Emesis Basins,No EXP,6/20/2012,,,,x
M285,L - ??,Pill Bottles,No EXP,7/3/2012,,,,x
M287,L - ??,Plastics: Basins; Pitchers; Bowls; Etc.,No EXP,8/13/2012,,,,x
M288,L - ??,Plastics: Basins; Pitchers; Bowls; Bed Pans; Etc.,No EXP,8/30/2012,,,,x
M288 *Dupe*,L - ??,Plastics,,,,,,x
M289,L - ??,Plastics: Basins; Pitchers; Bowls; Bed Pans; Etc.,No EXP,8/30/2012,,,,x
M290,L - 18 lbs.,Pill Bottles,No EXP,9/13/2012,,,,NO
M291,L - 31 lbs.,Plastic Trays x87,No EXP,9/13/2012,,,,x
M292,L - 24 lbs.,Other Plastics: 86 Trays; 38 Emesis Basins; 5 Sq. Pans; 7 Pitchers; 22 Bowls; 3 Urinals; 32 Sm. Sq. Bowls,No EXP,9/13/2012,,,,x
M293,L - 24 lbs.,Other Plastics: 38 Lg. Basins; 53 Emesis Basins; 81 Sm. Sq. Bowls; 86 Pitchers; 27 Round Bowls,No EXP,9/13/2012,,,,x
M294,L - 26.5 lbs.,Other Plastics: 54 Lg. Round Basins; 11 Lg. Bowls; 6 Med. Bowls; 1 Sm. Bowl; 46 Emesis Basins; 14 Pitchers,No EXP,9/13/2012,,,,x
M295,L - 30 lbs.,Plastic Trays x86,No EXP,9/13/2012,,,,x
M296,L - 26 lbs.,Plastic Basins & Emesis Basins,No EXP,9/28/2012,,,,x
M297,L - 27 lbs.,80 Trays,No EXP,9/28/2012,,,,x
M298,L - ??,Pill Bottles,,,,,,
M298,L - ??,,,,,,,
M299,L - 7 lbs.,Bed Pans; Urinals,No EXP,10/5/2012,,,,x
M300,L - 25 lbs.,Plastic Basins; Trays,No EXP,10/5/2012,,,,x
M301,L - 10 lbs.,Plastics: 60 Wash Basins; 4 Emesis Basins,No EXP,10/8/2012,,,,NO
M302,S - 16.5 lbs.,Latex Tourniquets,No EXP,10/8/2012,,,,x
M303,S - 21.5 lbs.,Latex Tourniquets,,,,,,x
M304,S - 22.0 lbs.,Latex Tourniquets,,,,,,x
M305,S - 6 lbs.,Pill Bottles x176,No EXP,10/10/2012,,,,x
M306,L - 10 lbs.,60 Wash Basins; 4 Emesis Basins,No EXP,10/10/2012,,,,x
M307,L - 17.5 lbs.,4750 Pill Bottles,No EXP,10/10/2012,,,,x
M308,L - 15.5 lbs.,600 Pill Bottles,No EXP,10/10/2012,,,,x
M309,S - 10 lbs.,Hydrocolloid Dressings x20 boxes,3/2016,10/21/2012,,,,x
M312,L - 14.8 lbs.,Sterile Burn Dressings x26 (Large),10/2014,10/21/2012 [Updated 7/29/2013],,,,x
M314,L - 15.0 lbs.,"Sterile Dressings: 15-Ply Burn Pads (24"" x 36"") x24",12/2015,10/24/2012 [Updated 7/29/13],,,,x
M316,L - 16 lbs.,"Unsterile Gauze Dressings, Includes Tegaderm",No EXP,10/31/2012,,,,x
M317,S - 5.5 lbs.,Sterile Burn Dressings x9,9/2016,10/31/2012,Kids Int'l,,,x
M318,S - 5 lbs.,Rolled Gauze (Sterile) x101,No EXP,10/31/2012,,,,x
M320,L - 18 lbs.,Dressings (Sterile),3/2014,10/31/2012,Rwanda,,,x
M321,L - 14.5 lbs.,Sterile Burn Pads x15,9/2015,11/2/2012,Kids Int'l,,,
M322,L - 16 lbs.,Sterile Dressings: Fluffs; ABDs; Dso Kits; Heavy Drainage Packs (4); Drain Sponges; 4x4s; Cover Sponges; 2x2s,2/2014,11/7/2012,,,,x
M323,L - 12 lbs.,Roll Gauze x200,No EXP,11/19/2012,,,,x
M324,L - 16.5 lbs.,Dressings (Unsterile): 2x2; ABD; 4x4; Rolls,No EXP,11/19/2012,,,,x
M325,L - 13 lbs.,Dressings (Sterile),3/2014,11/20/2012,Rwanda,,,x
M326,S - 14.25 lbs.,Sterile Tegaderm,No EXP,12/3/2012,,,,x
M327,L - 13 lbs.,ACE Bandages All sizes,No EXP,12/3/2012,,,,x
M328,L - 17.5 lbs.,Dressings (Unsterile): Gauze,No EXP,12/3/2012,,,,x
M329,L - 13 lbs.,Gauze Dressing (Sterile),2/2017,12/3/2012,,,,x
M330,L - 17.5 lbs.,Dressing Gauze (Unsterile),No EXP,12/6/2012,,,,x
M331,L - 30.0 lbs.,Dressings - Medicated/Treated (Sterile),1/2014,1/4/2013,,,,x
M332,L - 11 lbs.,Sterile Dressings (Misc. Sizes & Types),2/2017,1/4/2013,,,,x
M333,L - 14.5 lbs.,Dressings (Sterile),6/2014,1/8/2013,,,,x
M334,L - 21 lbs.,Dressings (Unsterile),No EXP,1/11/2013,,,,x
M334,L - 18.2 lbs.,Unsterile Dressings: Large Burn Sheets (36); 4x4,No EXP,7/16/2013,,,,x
M335,L - 9 lbs.,Dressings (Sterile): 5x9; 8x10,2/2015,1/18/2013,,,,x
M336,L - 22 lbs.,Dressings (Unsterile): 4x4 Gauze,No EXP,1/18/2013,,,,x
M337,L - 16 lbs.,Dressings (Unsterile),No EXP,1/18/2013,,,,x
M338,L - 12 lbs.,Dressings (Sterile): Assorted Sizes,2/2015,1/19/2013,,,,x
M339,L - 12 lbs.,Dressings (Sterile),11/2016,1/19/2013,,,,NO
M340,L - 12 lbs.,Dressing Heavy Drainage,1/2016,1/28/2013,,,,x
M341,L - 14.5 lbs.,Dresssing ABD Heavy Drainage,1/2016,1/28/2013,,,,x
M342,L - 14 lbs.,Dressings (Sterile),11/2016,2/6/2013,,,,x
M343,L - 15 lbs.,Dressings (Sterile),9/2015,2/6/2013,,,,x
M344,L - 14.5 lbs.,Dressings (Sterile),4/2015,2/6/2013,,,,x
M345,L - 12 lbs.,Dressings (Sterile),11/2015,2/6/2013,,,,x
M346,L - 14 lbs.,Dressings (Sterile),5/2015,2/6/2013,,,,x
M347,L - 17 lbs.,Dressings (Sterile),4/2015,2/6/2013,,,,x
M348,L - 20 lbs.,Dressings (Unsterile),No EXP,2/6/2013,,,,x
M349,L - 10 lbs.,Dressing (Sterile),1/2016,2/6/2013,,,,x
M350,L - 11.5 lbs.,Dressings (Sterile): Fluffs,No EXP,2/6/2013,,,,x
M351,L - 12.5 lbs.,Dressing (Sterile),9/2015,2/7/2013,,,,x
M352,L - 10.5 lbs.,Dressing (Sterile),4/2015,2/7/2013,,,,x
M353,L - 22 lbs.,Dressings (Unsterile): 38 Packages of 4x4,No EXP,2/7/2013,,,,x
M354,L - 12 lbs.,Dressing (Sterile),1/2015,2/18/2013,,,,x
