Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
O162,L - ??,64 Chest Drain Tubing,No EXP,9/29/2011,,,,x
O163,L - ??,55 Chest Drain Tube Packs,No EXP,9/29/2011,,,,x
O168,L - ??,30 Packs of 10 Suction Catheter Kits,No EXP,12/22/2011,,,,x
O169,L - ??,Unsterile Suction Tubing,No EXP,1/12/2012,,,,x
O170,L - ??,170 Suction Catheters,No EXP,1/12/2012,,,,x
O171,L - ??,Suction Tubing Connectors,No EXP,1/12/2012,,,,x
O172,L - ??,90 Suction Tubing; 40 Suction Catheters,No EXP,1/18/2012,,,,x
O173,L - ??,Suction Catheters,No EXP,1/18/2012,,,,x
O174,L - ??,105 Suction Tubing,No EXP,1/18/2012,,,,x
O178,L - ??,72 Unsterile Suction Tubing,No EXP,2/13/2012,,,,x
O178,L - ??,Suction Tubing x72,,,,,,x
O179,L - ??,Suction Catheters,8/2014,2/13/2012,,,,x
O181,L - ??,Suction Tubing,4/2016,2/13/2012,,,,x
O182,L - ??,Suction Catheters & Tubing,3/2014,2/27/2012,,,,x
O186,L - ??,Chest Tube Drainage,8/2015,4/12/2012,,,,x
O187,L - ??,Suction Catheters,4/2016,4/30/2012,,,,x
O188,L - ??,Suction Catheters,No EXP,4/30/2012,,,,x
O189,L - ??,14 Chest Drains; 6 Infant Chest Drains,12/2015,5/23/2012,,,,x
O191,L - ??,Suction Tubing,6/2015,5/29/2012,,,,x
O193,L - ??,Suction Tubing,No EXP,6/20/2012,,,,x
O194,L - ??,Suction Catheters & Tubing,3/2015,7/3/2012,,,,x
O196,L - 26 lbs.,3 Sterile Chest Tubes,6/2016,9/17/2016,,,,x
O197,L - 22 lbs.,Chest Tube Patient Drain Packs x52,No EXP,9/18/2012,,,,x
O198,L - 40 lbs.,118 Suction Tubing,No EXP,9/28/2012,,,,x
O200,L - 11.75 lbs.,35 Irrigation Trays; 7 Irrigation Syringes (Unsterile),No EXP,10/12/2012,,,,x
O201,L - 27.5 lbs.,Suction Catheters; Yankeuer; Poole x510,No EXP,10/12/2012,,,,x
O202,L - 13.5 lbs.,Suction Catheters: Adult/Peds Endobronchial x215,4/2016,10/15/2012,,,,x
O203,L - ??,Suction Catheters x140; Cath. Gloves Kit Mini Trays x30; Oro Suctions x18,10/2015,10/17/2015,,,,x
O204,L - 27 lbs.,Chest Drains: SFP Patient Tube Kits x45; Tubing Kits x9; Pleso Drainage; Chest Drainage Connector x1,1/2014,10/17/2012,,,,x
O205,L - 21 lbs.,Suction Catheters x227 (Unsterile),No EXP,10/17/2012,,,,x
O206,L - 29.5 lbs.,Suction Tubing Misc. (Unsterile),No EXP,10/17/2012,,,,x
O207,L - 22 lbs.,Chest Drains: Water Seal x5; Chest Tube Trays; Thoracic Cath. x9; SFP Patient Tube Pack x10,12/2013,10/17/2012,,,,x
O209,L - 22.5 lbs.,20 ml. Syringes: Luer-Lok x500,No EXP,10/21/2012,,,,x
O210,L - 20.5 lbs.,10 ml. Syringes x475,No EXP,10/21/2012,,,,x
O211,L - 17.5 lbs.,3ml. Syringes: Luer-Lok x1300,No EXP,10/21/2012,,,,x
O212,L - 19 lbs.,"3ml. Syringes: Luer-Lok x315; 20Gx1"" x700; 22Gx1"" x300",No EXP,10/21/2012,,,,x
O213,L - 18.5 lbs.,"1ml. Syringes w/ Needle: 27Gx1/2"" x200; 26Gx3/8"" x400",5/2016,10///21/2012,,,,x
O214,L - 22.5 lbs.,1ml. Syringes: Luer-Lok x700; TB Slip Tip x700,No EXP,10/21/2012,,,,x
O216,L - 21.5 lbs.,"3ml. Syringes w/ Needles: 22Gx1.5"" x900; 25Gx5/8"" x300; 25Gx1"" x93",No EXP,10/21/2012,,,,x
O217,S - 6.5 lbs.,Insulin Syringes: w/ Needles x225; w/o Needle x43,9/2014,10/22/2014,,,,x
O218,L - 26.5 lbs.,Insulin Syringes w/ Needles x1200,2/2017,10/22/2012,,,,x
O223,S - 10.5 lbs.,Insulin Syringes x1370,No EXP,10/31/2012,,,,x
O224,L - 23 lbs.,"Unsterile Syringes: Sizes 1, 6, 7, 10, 20, 30, 35ml.",No EXP,10/31/2012,,,,x
O226,S - 7 lbs.,Insulin Syringes x70,9/2015,10/31/2012,,,,x
O227,L - 26 lbs.,"Unsterile Syringes: Sizes 1, 3, 5, 10, 20, 30ml.",No EXP,10/31/2012,,,,x
O228,L - 12.5 lbs.,"1-3ml. Syringes: 1ml. TB Syringes (995); Allergy 1ml. 26G x 3/8"" (125); TB Syringes w/ 27G Needles (179); 3ml. w/ 25G Needles (187); 3ml. (42)",9/2014,,,,,x
O229,L - 25 lbs.,Insulin Syringes: Assorted,4/2015,11/20/2012,,,,x
O230,L - 25.5 lbs.,60 ml. Syringes x230,4/2014,11/26/2012,,,,x
O231,S - 5.5 lbs.,TB Syringes x500,12/2014,12/3/2012,,,,x
O232,S - 6.5 lbs.,10ml. Syringes,No EXP,12/3/2012,,,,x
O233,S - 9 lbs.,60ml. Syringes,6/2014,12/3/2012,,,,x
O234,L - 18 lbs.,10ml. Syringes,4/2014,12/6/2014,,,,x
O235,S - 8.5 lbs.,1200 Insulin Syringes,No EXP,12/6/2012,,,,x
O236,L - 24 lbs.,20-60ml. Syringes,3/2014,12/14/2012,,,,x
O237,L - 26 lbs.,1-3ml. Syringes: Assorted,12/2013,12/14/2012,,,,x
O238,L - 23 lbs.,Syringes: 20ml. x59; 30 ml. x118; 60ml. x130,3/2014,12/14/2012,,,,x
O239,L - 15.5 lbs.,1ml. Syringes,11/2016,1/19/2013,,,,x
O240,L - 19 lbs.,Syringes: 30ml. x80; 60 ml. x132,4/2014,1/19/2013,,,,
O241,L - 26 lbs.,Unsterile Syringes: 1ml. x15; 1.25ml. x100; 3ml. x51; 10ml. x280; 12ml. x124; 20ml. x47; 25ml. x4; 30ml. x31; 60ml. x28,No EXP,1/28/2013,,,,x
O242,L - 20.5 lbs.,30-60ml. Syringes,3/2014,2/18/2013,,,,x
O243,L - 20 lbs.,1-3ml. Syringes,3/2014,2/18/2013,,,,x
O244,L - 24 lbs.,Insulin Syringes,3/2014,2/18/2013,,,,x
O245,L - 16 lbs.,10ml. Syringes,No EXP,2/18/2013,,,,x
O246,L - 23.5 lbs.,1-3ml. Syringes: Assorted,3/2014,2/27/2013,,,,x
O246,L - 19.0 lbs.,30ml. Syringes x80; 60ml. x132,4/2014,2/27/2013,,,,x
O247,L - 23.4 lbs.,Insulin Syringes,2017,4/1/2013,,,,x
O248,L - 24 lbs.,Unsterile Syringes: ~700 Assorted Sizes,No EXP,4/26/2013,,,,x
O249,L - 24 lbs.,60ml. Syringes (Sterile) x210,5/2015,4/26/2013,,,,x
O250,L - 25 lbs.,60ml. Syringes (Sterile) x210,11/2014,4/26/2013,,,,x
O251,L - 18.5 lbs.,Insulin Syringes: 1000+,No EXP,4/26/2013,,,,x
O252,L - 19.8 lbs.,1-3ml. Syringes (Sterile),2/2017,6/3/2013,,,,x
O253,L - 25.0 lbs.,Insulin Syringes x1000,2/2015,6/3/2013,,,,x
O254,L - 21.0 lbs.,20-60ml. Syringes,8/2015,6/4/2013,,,,x
O255,L - 20.4 lbs.,Syringes (Sterile): 20ml. x80; 30ml. x67; 60ml. x118,4/2017,6/7/2013,,,,x
O256,L - 20.2 lbs.,10ml. Syringes (Sterile),4/2015,7/11/2013,,,,x
O257,L - 19.0 lbs.,20-60ml. Syringes (Sterile),7/2015,7/11/2013,,,,x
O258,L - 19.0 lbs.,1-3ml. Syringes (Sterile),11/2015,7/11/2013,,,,x
O259,L - 20.4 lbs.,1-3ml. Syringes (Sterile),8/2014,7/12/2013,,,,x
O260,L - 32.6 lbs.,"Syringes (unsterile): 3 ml x 1600, 10 ml x 242, 20-30 ml x 46, 60 ml x 45",No EXP,8/28/2013,,,,
O261,,,,,,,,
O262,,,,,,,,
O263,,,,,,,,
O264,,,,,,,,
O265,,,,,,,,
O266,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
