Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
N102,L - ??,Unsterile Drapes,,,,,,x
N144,S - ??,300 Peanut Kitners,No EXP,10/4/2011,,,,x
N150,L - ??,25 Sm. Sharps Containers,No EXP,11/10/2011,,,,x
N155,L - ??,74 Sm. Sharps Container + 70 Tops,No EXP,11/15/2011,,,,x
N156,S - ??,Sterile Q-Tips x232 Pkgs.,5/2016,11/16/2011,,,,x
N156,S - ??,Q-Tips x6 Boxes,3/2013,11/16/2011,,,,x
N169,S - ??,250 Sterile Cotton-Tipped Applicators,8/2016,2/13/2012,,,,x
N170,S - ??,250 Sterile Cotton-Tipped Applicators,12/2015,2/13/2012,,,,x
N171,S - ??,Unsterile Cotton-Tipped Applicators,No EXP,2/13/2012,,,,x
N172,S - ??,200 Sterile Cotton-Tipped Applicators,2/2016,2/13/2012,,,,x
N173,S - ??,4 Spill Kits,No EXP,2/13/2012,,,,x
N174,S - ??,Sterile Cotton-Tipped Applicators,8/2016,2/13/2012,,,,x
N175,S - ??,Tape: Assorted Sizes & Types,No EXP,2/13/2012,,,,x
N176,S - ??,8 Spill Kits,No EXP,2/13/2012,,,,x
N180,S - ??,Q-Tips (Sterile & Unsterile): Lg. & Sm.,12/2015,2/28/2012,,,,x
N182,S - ??,Sterile Cotton Balls x98 Packs of 5,No EXP,3/7/2012,,,,x
N183,S - ??,Sterile Cotton Balls x100 Packs of 5,No EXP,3/7/2012,,,,x
N185,S - ??,Surgical Clips: Assorted,3/2015,3/14/2012,,,,x
N186,S - ??,Q-Tips (Sterile),9/2016,3/21/2012,,,,x
N187,S - ??,Q-Tips (Sterile),9/2016,3/21/2012,,,,x
N188,S - ??,Q-Tips (Sterile),9/2016,3/21/2012,,,,x
N189,S - ??,Q-Tips (Sterile),9/2016,3/21/2012,,,,x
N190,S - ??,Lubricating Jelly Tubes x129,,3/23/2012,,,,x
N191,S - ??,"3"" Q-Tips (Sterile) x200 Packs of 10",12/2015,4/17/2012,,,,x
N192,S - ??,"3"" Q-Tips (Sterile) x95 Packs of 10; Some Unsterile 3"" & 6"" Cotton-Tipped Applicators",2/2014,4/17/2012,,,,x
N194,S - ??,"3"" Q-Tips (Unsterile) x8 Boxes + Misc.",11/2016,4/30/2012 [Updated 7/29/13],,,,x
N199,S - ??,Cotton-Tipped Applicators,No EXP,6/11/2012,,,,x
N200,S - ??,Cotton-Tipped Applicators x400,No EXP,6/11/2012,,,,x
N203,S - ??,Q-Tips,2/2016,7/3/2012,,,,x
N204,S - ??,"3"" Q-Tips",9/2016,7/3/2012,,,,x
N207,S - ??,Tape,No EXP,8/30/2012,,,,x
N209,S - ??,Expired Sutures,EXPIRED,,,,,x
N210,S - 6 lbs.,Cotton-Tipped Applicators (Sterile),4/2015,10/5/2012,,,,x
N211,S - 13 lbs.,Chemo Spill Kits x4; Protective Aprons,No EXP,10/5/2012,,,,x
N212,S - 22 lbs.,Lg. Povidone-Iodine Sponge Sticks,3/2014,10/17/2012,,,,x
N213,S - 13 lbs.,Adhesive Rolls x144,No EXP,10/17/2012,,,,x
N214,S - 13 lbs.,Adhesive Rolls x144,No EXP,10/17/2012,,,,x
N215,S - 15 lbs.,Adhesive Surgical Tape,No EXP,10/17/2012,,,,x
N217,S - 17 lbs.,Lubricating Jelly Packs,2/2015,10/22/2012,,,,x
N218,L - 18.5 lbs.,Cast Padding Wet/Dry,No EXP,11/2/2012,,,,x
N219,L - 19.5 lbs.,"Cast Padding: Wet or Dry (6"" x68; 3"" x58, 2"" x4); Misc. Loose: 4"" x37",8/2015,11/2/2012,,,,x
N220,L - 17.5 lbs.,"Cast Padding: Wet or Dry 4"" x160",3/2016,11/2/2012,,,,x
N221,L - 20.5 lbs.,"Cast Padding: Wet or Dry 3"" x220; Water Resistant 3"" x12; Cotton 2"" x36",5/2015,11/2/2012,,,,x
N222,L - 19 lbs.,Arthroscopic Pump & Extension Tubing,9/2014,11/27/2012,,,,x
N223,L - 32 lbs.,Dental Impresions,No EXP,12/3/2012,,,,x
N224,S - 19 lbs.,Cast Material: Unna Boot; Gelocast; Webril,No EXP,12/3/2012,,,,x
N225,L - 23.5 lbs.,61 Tan Stockinettes; 39 Impervious,No EXP,12/6/2012,,,,x
N226,L - 21.5 lbs.,Ortho. Mix: Suction Irrigators; Pump Tubing; Bone Screws; Kwire Drill; Finger Splints,1/2014,1/4/2013,,,,x
N227,S - 19 lbs.,Cast Padding x40 Rolls,No EXP,1/18/2013,,,,x
N228,S - 34 lbs.,Casting Supplies: 10 Rolls Cast Padding; 1 Roll Undercast; 6 Packs Plaster of Paris Splints,No EXP,1/18/2013,,,,x
N229,L - 26 lbs.,Cast Padding,No EXP,2/11/2013,,,,x
N230,L - 20.8 lbs.,"Casting Material 4"" & 6""",4/2014,6/3/2013,,,,x
N231,L - 26.0 lbs.,Casting Material: Assorted Sizes,8/2014,6/3/2013,,,,x
N232,L - 20.2 lbs.,"Convatec 1-3/4"" Ostomy Supplies",No EXP,7/11/2013,,,,x
N233,L - 9.4 lbs.,"Q-Tips (Unsterile): 6"" x7000",No EXP,7/12/2013,,,,x
N234,L - 24.4 lbs.,Tan Stockinettes (Unsterile): Tan Roll; Gray Roll; Rolled Packs; Tubigrip x3 Rolls,No EXP,8/7/2013,,,,x
N235,,,,,,,,
N236,,,,,,,,
N237,,,,,,,,
N238,,,,,,,,
N239,,,,,,,,
N240,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
