Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
C32,L - ??,Urine Collection (24 hour) x17,No EXP,Clinton,,,,x
C66,L - ??,???,,,,,,x
C83,L - ??,"Texas Catheters: 184 Lg., 319 Med., 6 Sm., 87 23mm.; 5 Urinary Drainage Bags; 4 Catheter Trays",10/2014,Clinton,,,,x
C125,L - ??,???,,,,,,x
C357,L - ??,Urinary Drainage Bags,No EXP,1/12/2012,,,,x
C362,L - ??,10 Sterile Cystoscopy Irrigantion Sets; 20 Sterile Irrigation Spike Adaptors; 100 Condom Catheters; 10 Sterile Piston Irrigation Trays,No EXP,1/18/2012,,,,x
C368,,Self-Catherization Sets,8/2014,2/20/2012,,,,NO
C369,L - ??,Misc. Urine Collection,6/2016,2/22/2012,,,,x
C371,L - ??,Urinary Catheters (Assorted Sizes),3/2014,3/7/2012,Rwanda,,,x
C372,S - ??,French Self-Catheter Kits x100,2/2014,3/7/2012,,,,x
C373,L - ??,Foley Catheter Kits and Drainage Tubing,7/2014,3/12/2012,AJC,,,x
C374,L - ??,Foley Catheter Kits and Drainage Tubing,7/2014,3/12/2012,,,,x
C375,L - ??,Urology Mix,7/2013,3/12/2012,,,,x
C376,L - ??,Urinary Drainage Bags x52,No EXP,3/12/2012,,,,x
C377,L - ??,40 Single Hand Breast Pumps; 3 Boxes OB Towelettes,No EXP,3/21/2012,,,,x
C379,L - ??,Urinary Drainage Bags,8/2015,4/12/2012,,,,x
C380,L - ??,Catheter Trays x8 (Sterile); 25 Foley Bags (Unsterile),9/2014,4/30/2012,,,,x
C381,L - ??,U Cath Kits x25,7/2014,4/30/2012,,,,x
C382,L - ??,U Cath Kits x48,No EXP,5/7/2012,,,,x
C383,?? - 11 lbs.,U Cath Kits x34,4/2014,5/7/2012 (Updated 1/2/13),,,,x
C384,L - ??,U Cath Trays x38,3/2014,5/7/2012,,,,x
C385,L - ??,U Cath Trays x38,3/2014,5/7/2012,,,,x
C386,L - ??,U Cath Trays x45,4/2014,5/7/2012,,,,x
C387,L - ??,U Cath Trays x22,3/2014,5/7/2012,,,,x
C389,L - ??,Texas Catheters,No EXP,5/18/2012,,,,x
C390,,Catheter Kits; Catheters,No EXP,5/18/2012,,,,NO
C391,L - ??,Urinary Drainage Bags x60,No EXP,5/23/2012,,,,x
C391,L - ??,,,,,,,x
C393,S - ??,Urinary Leg Bags w/ Tubing,No EXP,6/20/2012,,,,x
C394,L - ??,Urinary Catheters,2/2015,6/20/2012,Rwanda,,,x
C395,L - ??,Self-Catherization Supplies,9/2014,6/20/2012,,,,x
C396,L - ??,Foley Catheter Mix,4/2014,6/20/2012,,,,x
C398,L - ??,Urinary Drainage Bags x55; Texas Catheters x200,1/2014,7/3/2012,,,,x
C399,L - ??,Catheters: 65 Texas; 350 Self-Cath; 80 Foley,7/2014,7/16/2012,,,,x
C400,,Urinary Drainage Bags x70,1/2014,7/16/2012,,,,NO
C401,L - ??,Foley Catheter Trays x12,10/2014,8/13/2012,,,,x
C402,L - 14 lbs.,Catheter Tray Kits (Sterile),8/2014,9/13/2012,,,,x
C403,L - 17 lbs.,Urinary Catheter Trays x18,7/2014,9/14/2012,,,,x
C404,L - 13 lbs.,U-Cath Trays x15,No EXP,9/17/2012,,,,x
C405,L - 24 lbs.,"Urinary Catheters: 16 Texas; 23 Clean; 61 Self, Straight; 332 Sterile Foleys",5/2014,9/18/2012,,,,x
C406,S - 12.5 lbs.,Under Buttocks Drapes x49,No EXP,9/18/2012,,,,x
C407,S - 17 lbs.,Under Buttocks Drapes x29,1/2016,9/18/2012,,,,x
C408,L - 16 lbs.,15 Urinary Catheter Insertion Kits,10/2014,9/18/2012,,,,x
C409,L - 17.5 lbs.,19 Catheterization Kits,11/2014,9/18/2012,,,,x
C410,L - 40 lbs.,Urethral Catheter Trays,10/2015,9/28/2012,,,,x
C411,L - 13 lbs.,Urinary Catheter Trays: 65 Ped. Foley; 20 Ped. Self-Cath; 2 Foley Cath.,1/2014,9/28/2012,,,,x
C412,L - 17 lbs.,15 Urinary Catheterization Trays,10/2014,10/1/2012,,,,x
C413,L - 29 lbs.,Urinary Drainage Bags,No EXP,10/5/2012,,,,x
C414,L - 30.5 lbs.,Urinary Drainage Bags,No EXP,10/5/2012,,,,x
C415,L - 16.5 lbs.,Urinary Catheter Trays and Kits x21,No EXP,10/8/2012,,,,x
C416,L - 23.5 lbs.,Urinary Drainage Bags,No EXP,10/8/2012,,,,x
C417,L - 20 lbs.,Immobilizers: 12 Boot; 2 Cervical; 2 Slings; 1 Wrist; 1 Knee,No EXP,10/17/2012,,,,x
C418,L - 16 lbs.,Misc. Urinary,12/2014,10/17/2012,,,,x
C419,L - 18.5 lbs.,Misc. Urinary,12/2014,10/17/2012,,,,x
C420,L - 13.5 lbs.,Urinary Supplies,No EXP,10/18/2012,,,,x
C421,L - 9.5 lbs.,Foam Positioners: Assorted,No EXP,10/18/2012,,,,x
C422,S - 12.5 lbs.,"Exam Table Paper: 11 Rolls (14.5""x125' )",No EXP,10/21/2012,Rwanda,,,x
C424,S - 15 lbs.,"Diabetic Lancets x10,000 (Unsterile)",No EXP,10/21/2012,,,,x
C425,S - 19 lbs.,Diabetic Glcometers x50 (Unsterile),No EXP,10/21/2012,,,,x
C426,L - 6 lbs.,Foam,No EXP,10/24/2012,,,,x
C427,S - 16.5 lbs.,55  Glucometers (No Test Strips),No EXP,10/25/2012,,,,x
C428,L - 18 lbs.,Immobilizers: 6 Foot; 4 Knee; 1 Heel; 5 Neck; 5 Wrist; 1 Arm Sling,No EXP,10/26/2012,,,,NO
C429,?? - 12 lbs.,"Immobilizers: Wrist, Hand, Foot, etc.",No EXP,10/26/2012,,,,NO
C430,L - 18 lbs.,Immobilizers: 6 Foot; 5 Neck; 4 Knee; 5 Wrist; 1 Heel; Arm Sling,No EXP,10/31/2012,,,,x
C431,L - 12 lbs.,Immobilizers: Shoulder (2); Wrist/Arm (5); Collar (1); Knee (3); Foot (2); Hand (1),No EXP,10/31/2012,,,,x
C432,L - 12.5 lbs.,"Immobilizers: Knee braces (4); Shoulder Stabilizer (1); ""Ultra sling"" (1); Heel Protector (1); Abdominal Bands (2)",No EXP,10/31/2012,,,,x
C433,S - 8 lbs.,Patient Care: 7 Hipster Pads; 9 Abdominal Bands,No EXP,11/2/2012,,,,x
C434,L - 19 lbs.,Immobilizers: Neck (2); Leg (3); Knee (3); Arm (10); Foot (2),No EXP,11/2/2012,,,,x
C435,L - 16 lbs.,Immobilizers: Knee (5); Ankle (1); Shoulder (1); Wrist (1),No EXP,11/7/2012,,,,x
C436,L - 10 lbs.,Immobilizers: 7 Shoulder; 4 Traction,No EXP,11/8/2012,,,,x
C437,L - 16 lbs.,Immobilizers: 7 Foot; 4 Knee; 6 Shoulder,No EXP,11/19/2012,,,,x
C438,L - 14 lbs.,Immobilizers: 2 Knee; 2 Helmet; 9 Slings; 4 Shoulder; 5 Ankle,No EXP,11/20/2012,,,,x
C439,L - 5.5 lbs.,4 Foot Pressure Relief; 1 Arm Immobilizer,No EXP,11/26/2012,,,,x
C441,S - 13.5 lbs.,14 BP Cuffs,No EXP,12/3/2012 (Updated 12/19/2012),,,,x
C442,S - 12 lbs.,"11 BP Cuffs, 3 Stethoscopes",No EXP,12/3/2012,,,,x
C443,S - 12.5 lbs.,14 BP Cuffs,No EXP,12/3/2012 (Updated 12/19/2012),,,,x
C444,L - 19.5 lbs.,Immobilizers: 6 Foot; 3 Knee; 3 Arm; 2 Colla; 3 Wrist; 1 Ankle,No EXP,12/3/2012,,,,x
C445,L - 26.5 lbs.,Patient Care: Med. Cups; Hipsters; Vests; etc.,No EXP,12/3/2012,,,,x
C446,L - 9 lbs.,Foam: Assorted Sizes,No EXP,12/3/2012,,,,x
C447,L - 8 lbs.,30 Positioning Heel Pads; 2 Pillows,No EXP,12/3/2012,,,,x
C448,L - 9 lbs.,5 Bed Pillows,No EXP,12/6/2012,,,,x
C449,L - 9 lbs.,5 Bed Pillows,No EXP,12/6/2012,,,,x
C450,S - 14 lbs.,Air Mattress w/ Pump,No EXP,12/6/2012,,,,x
C451,L - 20 lbs.,Immobilizers: Post OP Shoe x16; Sling x5; Knee x1; Shoulder x2,No EXP,12/14/2012,,,,x
C452,L - 15 lbs.,Immobilizers: 3 Foot; 3 Knee; 5 Arm/Shoulder; 6 Cervical Collar,No EXP,1/4/2013,,,,x
C453,L - 17 lbs.,Immobilizers: 5 Foot; 15 Arm; 3 Cervical; 2 Ankle; 7 Shoulder,No EXP,1/4/2013,,,,x
C454,L - 17 lbs.,Immobilizers: 8 Foot; 8 Walking Boot; 1 Shoulder; 15 Arm; 1 Cervical,No EXP,1/4/2013,,,,x
C455,L - 7 lbs.,4 Bed Pillows,No EXP,1/8/2013,,,,x
C456,L - 7.5 lbs.,4 Bed Pillows,No EXP,1/8/2013,,,,x
C457,L - 21 lbs.,Immobilizers: 8 Shoulder; 6 Wrist; 4 Slings; Post-OP Shoe,No EXP,1/8/2013,,,,x
C458,L - 31 lbs.,Lab Supplies: Pipets; Slides,No EXP,1/11/2013,,,,x
C459,S - 13 lbs.,Alternating Pressure Mattress w/ Pump,No EXP,1/11/2013,,,,x
C460,L - 18.5 lbs.,Immobilizers: 4 Shoulder; 4 Cervical; 2 Shoe; 5 Slings; 2 Knee; 5 Abdominal; 3 Wrist,No EXP,1/11/2013,,,,x
C461,L - 17 lbs.,Immobilizers: 1 Shoulder; 5 Neck; 6 Boot; 3 Back; 5 Arm; 2 Elbow; 4 Abdominal,No EXP,1/16/2013,,,,x
C462,L - 8 lbs.,4 Bed Pillows,No EXP,1/16/2013,,,,x
C463,L - 8 lbs.,5 Bed Pillows,No EXP,1/16/2013,,,,x
C464,L - 7.5 lbs.,4 Bed Pillows,No EXP,1/16/2013,,,,x
C465,S - 12 lbs.,9 Blood Pressure Cuffs; 4 Stethoscopes,No EXP,1/18/2013,,,,x
C466,S - 12 lbs.,"BP Cuffs: 2 Wall Mount; 6 Regular
4 Stethoscopes",No EXP,1/18/2013,,,,x
C467,L - 13 lbs.,16 Sitz Baths,No EXP,1/28/2013,,,,x
C468,L - 8 lbs.,Patient Care: Lambs Wool,No EXP,2/6/2013,,,,x
C469,L - 26 lbs.,Patient Care: Plastic Cups; Packs; Supporters; etc.,No EXP,2/6/2013,,,,NO
C470,S - 6 lbs.,Patient Care: 10 Hip Protectors,No EXP,2/7/2013,,,,x
C471,S - 8 lbs.,Patient Care: Lymphodema Gloves; Abd. Binders,No EXP,2/7/2013,,,,x
C472,S - 15 lbs.,Patient Care: Gait Belts,No EXP,2/7/2013,,,,x
C473,S - 6 lbs.,Patient Care: Elbow/Heel Protectors,No EXP,2/7/2013,,,,x
C474,L - 13 lbs.,Immobilizers: Cervical Collars; Arm Slings,No EXP,2/7/2013,,,,x
C475,S - 12.5 lbs.,11 BP Cuffs; 10 Stethoscopes,No EXP,2/7/2013,,,,x
C476,L - 26 lbs.,Patient Care: Gait Belts; Sitz Baths; Back Supports,10/2014,2/11/2013,,,,NO
C477,L - 4 lbs.,Foam Arm Board Covers,No EXP,2/18/2013,,,,x
C478,L - 28 lbs.,Immobilizers: Knee; Ankle; Shoulder,No EXP,2/20/2013,,,,x
C479,S - 9 lbs.,Lancets,5/2015,2/20/2013,,,,x
C480,L - 20 lbs.,"Gowns: Patient, Paper x54; Jackets, Paper x50",No EXP,2/27/2013,,,,x
C481,L - 16 lbs.,Immobilizers: 2 Knee; 10 Elbow; 1 Back; 7 Sling; 2 Ankle; 3 Thumb; 3 Finger; 6 Wrist,No EXP,2/27/2013,,,,x
C482,L - 20 lbs.,20 Patient Warming Gowns,No EXP,3/5/2013,,,,x
C483,L - 20 lbs.,Plastic Gowns x167; Aprons x108,,3/5/2013,,,,x
C484,L - 6 lbs.,Positioning Devices: Knee Pillows; Elbow/Heel,No EXP,3/15/2013,,,,x
C485,L - 13.5 lbs.,Immobilizers: 4 Foot; 1 Collar; 1 Back; 2 Sling,No EXP,3/26/2013,,,,x
C486,L - 12.5 lbs.,Immobilizers: 1 Foot; 5 Collar; 2 Leg; 1 Back; 1 Sling; 5 Elbow,No EXP,3/26/2013,,,,x
C487,S - 10 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,,,,NO
C488,S - 10 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,,,,x
C489,S - 10 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,,,,x
C490,S - 10 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,,,,x
C491,S - 10 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,,,,x
C492,S - 10 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,,,,x
C493,S - 18.5 lbs.,Patient Care: Medicine Cups,No EXP,4/1/2013,,,,x
C494,S - 19.0 lbs.,Patient Care: Medicine Cups,No EXP,4/1/2013,,,,NO
C495,S - 20.0 lbs.,Patient Care: Medicine Cups,No EXP,4/1/2013,,,,NO
C496,S - 21.0 lbs.,Patient Care: Medicine Cups,No EXP,4/1/2013,,,,x
C497,L - 5.2 lbs.,Pillows x3,No EXP,4/10/2013,,,,x
C498,L - 16.0 lbs.,Patient Care: Seat Cushions; Elbow/Heel Protectors; Orthotic Arch Supports,No EXP,4/10/2013,,,,x
C499,L - 21 lbs.,Disposable BP Cuffs (Only),No EXP,4/12/2013,,,,x
C500,L - 11.5 lbs.,Immobilizers: Cervical Collars; Shoulder; Wrist,No EXP,4/26/2013,,,,x
C501,L - 21.6 lbs.,Immobilizers: 13 Cast Boots; 2 Ankle; 4 Wrist,No EXP,4/26/2013,,,,x
C502,L - 4.8 lbs.,7 Foam Pillows; 6 Elbow/Heel Protectors,No EXP,5/13/2013,,,,x
C503,L - 6 lbs.,6 Foam Pillows; 12 Elbow/Heel Protectors,No EXP,5/13/2013,,,,x
C504,L - 7.4 lbs.,Bed Linens; Pillows,No EXP,5/13/2013,,,,x
C505,L - 16.4 lbs.,Immobilizers: Wrist; Knee; Shoulder,No EXP,5/13/2013,,,,x
C506,L - 5.0 lbs.,Abduction Pillow; 3 Neck Pillows,No EXP,5/13/2013,,,,x
C507,S - 5.8 lbs.,"Elbow/Heel, Hip Protectors",No EXP,5/13/2013,,,,x
C508,L - 13.0 lbs.,Immobilizers: Shoulder; Cervical; Clavical,No EXP,6/3/2013,,,,x
C509,L - 20.8 lbs.,Patient Care: Abd. Binders; Leg Lifters; Bedside Bags; Sitz Bath; Gait Belt; Med Cups; Lamb's Wool,12/2017,6/7/2013,,,,x
C510,S - 31.0 lbs.,XL Post-Mortem Shroud Packs,No EXP,7/12/2013,,,,x
C511,S - 2.8 lbs.,Immobilizers: Cervical Collars,No EXP,8/7/2013,,,,x
C512,L - 12.4 lbs.,Immobilizers: Knee; Ankle; Cast Boots,No EXP,8/7/2013,,,,x
C513,L - 10.8 lbs.,"Elbow/Heel, Hip Protectors",No EXP,8/7/2013,,,,x
C514,L - 12.0 lbs.,Immobilizers: Shoulder; Arm; Wrist,No EXP,8/7/2013,,,,x
C515,L - 5.0 lbs.,Patient care: Foam,No EXP,8/28/2013,,,,
C516,L - 16.6 lbs.,Exam table paper x 100,No EXP,8/28/2013,,,,
C517,,,,,,,,
C518,,,,,,,,
C519,,,,,,,,
C520,,,,,,,,
