Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
AA80,L - ??,3cc. Syringes x700,,Clinton,,,,x
AA103,L - ??,3cc. Syringes x1200,,Clinton,,,,x
AA111,L - ??,1-3cc. Syringes x1453,,Clinton,,,,x
AA115,L - ??,1-3cc. Syringes x1200,,Clinton,,,,x
AA141,L - ??,Unsterile Syringes x1200,,Clinton,,,,x
AA148,L - ??,1cc. Syringes: Safety Glide 27G,,Clinton,,,,x
AA149,L - 16 lbs.,20cc. Syringes,,Clinton,,,,x
AA153,L - ??,1-3cc. Syringes,,Clinton,,,,x
AA193,L - ??,Unsterile Syringes,,Clinton,,,,x
AA195,L - ??,3 cc. Syringes,,Clinton,,,,x
AA217,L - ??,10cc. Syringes x800,8/2014,11/17/2011,,,,x
AA218,L - ??,10cc. Syringes (Sterile): 426 Luer-Lok; 160 Slip Tip; 75 Luer-Lok w/ Blunt Plastic Cannula; 13 w/o Needle; 10 21Gx1; 2 20Gx1 1/2; 32 20Gx1; 2 Control Syringes,5/2012,11/17/2011 (Updated 12/12/12),,,,x
AA222,L - ??,Unsterile Syringes (Assorted Sizes),No EXP,12/13/2011,,,,x
AA223,L - ??,Dosing Syringes x400,No EXP,12/22/2011,,,,x
AA224,L - ??,Approx. 400 20 & 60cc. Dosing Syringes,No EXP,12/22/2011,,,,x
AA225,L - ??,Syringes: 220 60cc.; 30 20-30cc.,9/2015,12/27/2011,,,,x
AA226,S - ??,Oral Dressing Syringes,No EXP,1/4/2012,,,,x
AA227,L - ??,Syringes (Sterile): 1000 3cc. w/o Needles,No EXP,1/18/2012,,,,x
AA228,L - ??,1-3cc. Syringes,No EXP,1/18/2012,,,,x
AA229,L - ??,900 Unsterile Syringes (Assorted Sizes),No EXP,1/18/2012,,,,x
AA230,L - ??,20-60cc. Sterile Irrigation Syringes,1/2016,1/27/2012,,,,x
AA233,L - ??,"10cc. Syringes: 580 Luer-Lok; 288 w/ 1-1/2"" Needle; 30 Control Syringes",2015,1/27/2012,,,,x
AA235,L - ??,60cc. Syringes (Sterile): 180 w/ Catheter Tip,No EXP,2/16/2012,,,,x
AA236,L - ??,60cc. Syringes (Sterile): 180 w/ Catheter Tip,No EXP,2/16/2012,,,,x
AA237,L - ??,20-60cc. Syringes (Sterile),1/2014,2/27/2012,,,,x
AA238,L - ??,20-60cc. Syringes,11/2014,3/23/2012,,,,x
AA240,L - ??,10cc. Syringes (Sterile),9/2014,4/12/2012,,,,x
AA241,L - ??,Various Syringes,No EXP,5/18/2012,,,,x
AA242,S - ??,12cc. Syringes x320,No EXP,6/20/2012,,,,x
AA244,L - ??,Syringes (Unsterile): Assorted Sizes,No EXP,6/20/2012,,,,x
AA246,L - ??,Sterile 20-60cc. Syringes: 20cc. x193; 30cc. x65; 60cc. x84,12/2013,9/17/2012,,,,x
AA247,L - 18.5 lbs.,Sterile 10cc. Luer-Lok Syringes x800,No EXP,,,,,x
AA248,L - 29 lbs.,60cc. Syringes (Unsterile) x375,No EXP,10/5/2012,,,,x
AA250,L - 22 lbs.,10-12cc. Syringes (Sterile),4/2014,10/10/2012,,,,x
AA251,L - 23.5 lbs.,20-60cc. Syringes (Sterile),2/2015,10/10/2012,,,,x
AA252,L - 19 lbs.,Sterile 1cc. Syringes,8/2015,10/10/2012,,,,x
AA253,L - 19.5 lbs.,3cc. Sterile Syringes,No EXP,10/10/2012,,,,x
AA254,L - 20 lbs.,1cc. Tuberculin Slip-Tip Syringes x2370,No EXP,,,,,x
AA255,S - 15.5 lbs.,"Sterile Syringes 3cc. w/ 23Gx1"" Needle x800",No EXP,10/10/2012,,,,x
AA256,L - 17.5 lbs.,Sterile 5-6cc. Syringes,No EXP,10/12/2012,,,,x
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
