Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
DD31,L - ??,Towels (Blue & White Paper),,Clinton,,,,x
DD33,L - ??,Drapes (Unsterile),,Clinton,,,,x
DD45,L - ??,78 Lap Pads,No EXP,2/13/2012,,,,x
DD48,L - ??,Cloth Towels (Unsterile),No EXP,8/14/2012,,,,x
DD48,L - ??,Lap Sponges (Sterile),No EXP,8/14/2012,,,,x
DD50,S - 13 lbs.,Quarter Drapes: sm. x250; lg. x72,No EXP,9/18/2012,,,,x
DD51,L - 8 lbs.,Sterile Quarter Drapes,No EXP,9/18/2012,,,,x
DD53,S - 12.5 lbs.,Tail Drapes (Plastic) x30,No EXP,10/10/2012,,,,x
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
