Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
U20,L - ??,Steri-Drapes S-L Long x82,No EXP,9/29/2011,,,,x
U21,L - ??,Lap Sponges (Unsterile),No EXP,1/18/2012,,,,x
U22,L - ??,ENT Dressings,No EXP,2/12/2012,,,,x
U23,L - ??,Drapes (Sterile),No EXP,5/18/2012,,,,x
U24,L - ??,Drapes (Sterile),No EXP,5/18/2012,,,,x
U25,L - 19.5 lbs.,Lap Sponges (Unsterile),No EXP,10/10/2012,,,,x
U26,S - 10.5 lbs.,Blue Quarter Drapes (Unsterile) x245,No EXP,10/21/2012,,,,x
U27,L - 25 lbs.,Lg. Drapes (Unsterile ),No EXP,10/21/2012,,,,x
U28,L - 21 lbs.,66 Small Drape Sheets (Unsterile),No EXP,10/24/2012,,,,x
U29,L - 22 lbs.,Drapes (Sterile): 30 X-Ray Covers; 3 Half Drapes; 28 Drapes; 45 Towel Drapes,No EXP,10/24/2012,,,,x
U30,L - 26 lbs.,Lg. Drapes (Unsterile),No EXP,10/24/2012,,,,x
U31,L - 24 lbs.,"OR Sheets, Gowns,  and Misc. Sterile Items",02/2014,10/25/2012,Rwanda,,,x
U32,L - 18 lbs.,36 OR Sheets (Sterile); 3 Extremity Drapes,09/2016,10/25/2012,,,,x
U33,L - 21.5 lbs.,Large Drape Sheets (Unsterile) x20,No EXP,10/31/2012,,,,x
U34,L - 24 lbs.,Large Drapes (Unsterile) x25,No EXP,10/31/2012,,,,x
U35,L - 12.5 lbs.,Autoclave Wraps,No EXP,10/31/2012,,,,x
U36,L - 25 lbs.,Sheets/Drapes Large x24; Head Drape x4 (Unsterile),No EXP,10/31/2012,,,,x
U37,L - 18.5 lbs.,Drape Sheets (Unsterile) x50,No EXP,10/31/2012,,,,x
U38,L - 27 lbs.,Plastic Sheets/Table Covers (Unsterile),No EXP,10/31/2012,,,,x
U39,L - 26.5 lbs.,Autoclave Pouches x4000; Autoclave Wraps,No EXP,10/31/2012,,,,x
U40,L - 29 lbs.,31 Lg. Drapes (Unsterile),No EXP,11/2/2012,,,,x
U41,L - 29.5 lbs.,Plastic Drapes/Covers (40),No EXP,11/5/2012,,,,x
U42,L - ?? lbs.,Large Drapes (Unsterile) x28,,,,,,x
U43,L - 18 lbs.,"55 Sheets (Unsterile, Paper)",No EXP,11/8/2012,,,,x
U44,L - 30 lbs.,"28 Drapes (Unsterile, Paper )",No EXP,11/8/2012,,,,x
U45,L - 24.5 lbs.,Lg. Drapes (Unsterile),No EXP,11/8/2012,,,,x
U46,L - 18 lbs.,Sterile Packs: 1 Pediatric Minor; 4 Drape Packs,4/2015,11/8/2012,,,,x
U47,L - 27.5 lbs.,Drapes OR Large,No EXP,11/19/2012,,,,x
U48,L - 24 lbs.,"Drapes (Unsterile, Paper): 60 70x100; 44x77",No EXP,11/19/2012,,,,x
U49,L - 19 lbs.,Large Drapes (Unsterile),No EXP,11/19/2012,,,,x
U50,L - 20 lbs.,"Sheets (Unsterile, Paper)",No EXP,11/19/2012,,,,x
U52,L - 29 lbs.,42 Plastic Sheets (Unsterile),No EXP,11/19/2012,,,,x
U53,L - 18 lbs.,Autoclave Wraps x195; 1 Roll Tape (Unsterile),No EXP,11/19/2012,,,,x
U54,L - 26.5 lbs.,25 Lg. OR Drapes (Unsterile),No EXP,11/20/2012,,,,x
U55,L - 27 lbs.,50 Plastic Sheets (Unsterile),No EXP,11/20/2012,,,,x
U56,L - 16.5 lbs.,180 Autoclave Wraps (Unsterile),No EXP,11/26/2012,,,,x
U57,L - 28 lbs.,Lg. Drapes (Unsterile),No EXP,11/16/2012,,,,x
U59,L - 24 lbs.,Lg. OR Drapes (Unsterile),No EXP,12/3/2012,,,,x
U60,L - 23.5 lbs.,25 Lg Drapes (Unsterile),No EXP,12/3/2012,,,,x
U61,L - 24 lbs.,Lg. OR Drapes (Unsterile),No EXP,12/3/2012,,,,x
U62,L - 21.5 lbs.,OR Drapes (Sterile): 18 U-Drapes; 6 C-Section; 11 Shoulder Pouch,11/2016,12/3/2012,,,,x
U65,L - 25 lbs.,28 Lg. Drapes (Unsterile),No EXP,12/6/2012,,,,x
U66,L - 26.5 lbs.,24 Drapes (Unsterile),No EXP,12/6/2012,,,,x
U67,S - 21 lbs.,110 Mayo Stand Covers (Unsterile),No EXP,12/6/2012,,,,x
