Box Number,Box Size & Weight,Contents,Exp. date,Date entered,Reserved For,Shipped To,Date Shipped,
G40,,Ortho Immobilizers / Wrist Splints,,Clinton,In Re-Box Pile @ Clinton,,,
G16,,Lab Supplies/Specimen Collection,,Clinton,,,,
G20,,Cast Boots (Orthro),,Clinton,Morocco,,,
G38,,Foam,,Clinton,,,,
G51,,Shoulder Immobilizers (Orthro),66,Clinton,,,,
G221,,foam,,Clinton,,,,
G241,,heel protectors no exp,,11/16/2011,,,,
G242,,immobilelizors no exp,,11/16/2011,,,,
G243,,immobilizers,no exp,11/18/2011,,,,
G245,,"Knee Immobilizers,low wrist splints,@slings",no  exp,,,,,
G247,,back supporters @cervical collers,no exp,,,,,
G248,,"Imobilizers,cervical collars,boots,slings",no exp,1/17/2012,,,,
G250,,10 foam,no exp,1/18/2012,,,,
G252,,"1 Knee brace, 6 cervical collars, 6 arm slings, 1 back brace",no exp,2/13/2012,,,,
G253,,Positioning foam,no exp,2/20/2012,,,,
G254,,"Wrist splints, surgical shoes, cervical collar, knee imobilizer, EZ boots, heel booties, knee abductor pillow, jobst stocking",No exp,2/27/2012,,,,
G255,,"Elbow , heel protectors",No exp,2/28/2012,,,,
G256,,"Imobilizers- cervical collars, slings, knee braces",No exp,2/28/2012,,,,
G257,,"Elbow, heel protectors",No exp,2/28/2012,,,,
G259,,Foam 2 carter pillows face foam ones,no exp,3/12/2012,,,,
G260,,"Imobilizer-cast shoes, cervical collars, slings",no exp,3/12/2012,,,,
G261,,"Imobilizer - knee, cervical collars",no exp,3/12/2012,,,,
G262,,Immobilizers Assorted,no exp,3/23/2012,,,,
G263,,"Immobilizers Knee, wrist, cervical",no exp,3/23/2012,,,,
G264,,"Imobilizers-knee,foot,shoulder",no exp,4/12/2012,,,,
G265,,"2 Leg/Foot brace, 1 mini foot brace, 3 arm components w stress ball",no exp,4/23/2012,,,,
G267,,"Imobilizers-knee,foot,neck, wrist sling",no exp,4/30/2012,,,,
G268,,Soft boot x 12 heel protector x 13,no exp,5/7/2012,,,,
G269,,Foam X 5,no exp,5/7/2012,,,,
G270,,Soft boot X 50,no exp,5/7/2012,,,,
G271,,Soft boot X 50,no exp,5/7/2012,,,,
G272,,Cervical collars x 20,no exp,5/7/2012 (Updated 12/24/12),,,,
G273,,Cervical collars x 19,no exp,5/7/2012,,,,
G274,,"Cervical collars x 25, knee brace x 1, foot boot x 7 ankle x 2",no exp,5/18/2012,,,,
G275,,Cervical collars x 63,no exp,5/18/2012,,,,
G276,,Cervical collars x 63,no exp,5/18/2012,,,,
G277,,Cervical collars x 56,no exp,5/18/2012,,,,
G278,,Cervical collars x 61,no exp,5/18/2012,,,,
G279,,Ortho supplies,no exp,5/23/2012,,,,
G280,,"Imobilizers-3 knee, 10 back braces, 15 arm slings, closed heel walker",no exp,5/23/2012,,,,
G281,,Assorted foam pieces Unsterile,no exp,5/29/2012,,,,
G282,,Various imobilizers,no exp,6/20/2012,,,,
G283,,Knee imobilizers,no exp,6/20/2012,,,,
G284,,Imobilizer boots,No exp,6/20/2012,,,,
G285,,"Imobilizers-leg, wrist, clavical, foot",No exp,7/3/2012,,,,
G286,,"Imobilizers- Back brace, pelvic, knee, heel, hernia",No exp,7/3/2012,,,,
G287,,Knee imobilizers Non sterile 25 lbs.,no exp,10/8/2012,,,,
G288,,"Cervical collars, spinal braces 14 lbs",no exp,10/8/2012,,,,
G290,,"Imobilizers-17 arm slings, 3 shoulder, 13 wrist, 3 knee 13.5 lbs.",no exp,10/8/2012,,,,
G291,,"Post-op walking boots X 4, foot boots X 3, foam ankle protector 20 lbs.",no exp,10/8/2012,,,,
G292,,Heel protector X 22 8 lbs.,no exp,10/8/2012,,,,
G293,,"Heel protector, elbow protector, 1 foot cradle 9 lbs.",no exp,10/8/2012,,,,
G294,,"Imobilizers-heel protectors X 8, boots X 4, ankle brace X 1",no exp,10/8/2012,,,,
G295,?? - 16lbs,"Misc. Tracheostomy Supplies: Holders, Masks, Care Kits, etc.",earliest 11/2014,10/23/2012,,,,
G296,?? - 8lbs,54 Tracheostomy Care Kits,no exp,10/24/2012,,,,
G297,L - 9lbs,53 Tracheostomy Care Kits,earliest 11/2014,11/7/2012,,,,
G298,L - 14lbs,Tracheostomy Tube Inner Cannulas,10/2016,11/7/2012,,,,
G299,L 8lbs,50 Respiratory Tracheostomy Kits,no exp,11/26/2012,,,,
G300,L - 8.5lbs,56 Tracheostomy Care Kits,sterile   no exp,11/26/2012,,,,
G301,L 14lbs,"Tracheostomy (38 tubes, 40 inner cannulas, 12 suction systems, 20 inner cannulas, 40 trach. tube holders",exp 3/2014,12/2/2012,,,,
G302,L 12.5lbs,63 Tracheostomy Masks; 49 Drainage bags; 117 Holders/ties stoppers; 6 care kits some sterile,earliest  exp 03/2014,12/5/2012,,,,
G303,L 15lbs,Tracheostomy Tubes @ Supplies,earliest exp 08/2015,1/27/2013,,,,
G304,L 10lbs,Trachestomey Care Kits x 48 + Trach Ties,no exp,3/14/2013,,,,
G305,L 14.4,"tracheostomy tubes(33), trach masks(15), inner cannulas(100)",2/2016,4/11/2013,,,,
G306,L12.8,misc tracheostomy supplies,5/2017,5/12/2013,,,,
G307,L 15.4,Trach tubes Inner Cannula sizes 3-10,2/2015,7/10/2013,,,,
G308,L - 13.6 lbs.,Misc. tracheostomy supplies,09/2016,8/6/2013,,,,
G309,L - 9.2 lbs.,"Tracheostomy care kits x 52, mini care kits x 23",10/2017,8/28/2013,,,,
G310,L - 7.8 lbs.,Tracheostomy care kits x 24,10/2015,8/28/2013,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
