Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
Z91,L - ??,2 CPAP,No EXP,1/18/2012,,,,x
Z94,S - ??,Shoulder Suspension Set x38,No EXP,7/3/2012,,,,x
Z95,L - ??,Casting Supplies,No EXP,8/30/2012,,,,x
Z96,S - ??,Casting Supplies,No EXP,8/30/2012,,,,x
Z97,L - 13 lbs.,CPAP x31,No EXP,9/17/2012,,,,x
Z98,L - 10.5 lbs.,CPAP Masks: 2 sm.; 24 med.; 2 lg.,No EXP,9/18/2012,,,,x
Z99,L - 13 lbs.,CPAP Masks: 4 misc.; 9 lg.; 20 med.,No EXP,9/18/2012,,,,x
Z100,L - 25 lbs.,"Unsterile Synthetic Cast Padding (2""x44; 3""x57; 4""x49); Sterile Cotton Undercast Padding (4""x29)",7/2016,9/18/2012,,,,x
,L - 20 lbs.,Casting Supplies: Cotton Undercast Padding,No EXP,9/28/2012,,,,x
Z102,L - 27 lbs.,Tan Stockinettes,01/2016,9/28/2012,,,,x
Z105,S - 32 lbs.,Ultrasound Gel x48 bottles,No EXP,10/21/2012,,,,x
Z106,S - 32 lbs.,Ultrasound Gel x48 bottles,No EXP,10/21/2012,,,,x
Z107,S - 7.5 lbs.,"6"" Cotton-Tipped Applicators (Sterile) x6 Boxes of 1000",7/2017,10/31/2012,,,,x
Z107 *DUPE*,S - 22.5 lbs.,Hot/Cold Packs: Ice Bags (57); Reusable Hot/Cold Packs (14); Disposable Hot Packs (42); Disposable Cold Packs (4),No EXP,10/31/2012,,,,x
Z108,S - 6.5 lbs.,Cotton-Tipped Applicators (Sterile),8/2016,10/31/2012,,,,x
Z109,S - 10 lbs.,8 Spill Kits,No EXP,11/8/2012,,,,x
Z112,S - 16 lbs.,Povidone-Iodine: 38 Sponges; 5 Sponge Sticks (Lg. Packs),7/2014,11/8/2012,,,,x
Z113,S - 4.5 lbs.,Q-Tips (Sterile),11/2016,12/3/2012,,,,x
Z114,S - 13 lbs.,Assorted Rolls Tape,No EXP,12/3/2012,,,,x
Z115,S - 21 lbs.,Povidone-Iodine (20 Lg. Sponges; 29 Lg. Sticks),No EXP,12/14/2012,,,,x
Z116,S - 8 lbs.,Cotton-Tipped Applicators (Unsterile),No EXP,12/14/2012,,,,x
Z117,S - 7 lbs.,Q-Tips (Sterile),2/2014,12/14/2012,,,,x
Z118,S - 15 lbs.,Tape,No EXP,1/28/2013,,,,x
Z119,S - 12.5 lbs.,Tourniquets,No EXP,3/15/2013,,,,x
Z120,S - 6.5 lbs.,Q-Tips and Cotton-Tipped Applicators,4/2014,3/26/2013,,,,x
Z121,S - 7 lbs.,Q-Tips and Cotton-Tipped Applicators,4/2014,3/26/2013,,,,x
Z122,S - 9 lbs.,Spill Kits,No EXP,4/12/2013,,,,x
Z123,S - 25.4 lbs.,Lubricating Gel,5/2015,4/26/2013,,,,x
Z124,S - 18.5 lbs.,Medical Tape: Assorted,No EXP,6/3/2013,,,,x
Z125,S - 19.6 lbs.,Medical Tape: Assorted,No EXP,7/12/2013,,,,x
Z126,,,,,,,,
Z127,,,,,,,,
Z128,,,,,,,,
Z129,,,,,,,,
Z130,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
