Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
T16,L - ??,Defibrillator Pads,,Clinton,Bamba?,,,x
T33,L - ??,Defibrillator and EKG Pads,,,,,,x
T35,L - ??,Bovie,,,,,,x
T45,L - ??,140 Unsterile Cautery; 18 Sterile Loop High Temp Cautery; 11 Sterile Cautery; 530 Empty Pill Bottles,2/2015,11/10/2011,,,,x
T50,S - ??,"Skin Markers, Tape Measures",No EXP,2/13/2012,,,,x
T54,S - ??,Bovie Pens (Unsterile),No EXP,6/20/2012,,,,x
T55,S - ??,Bovie Pens (Unsterile),No EXP,6/20/2012,,,,x
T56,S - 10 lbs.,11 Unsterile Bovie Cautery,,9/28/2012,,,,x
T57,S - 12 lbs.,110 Unsterile Bovie Handpads; Cautery Supplies; 8 Sterile Bovie Pads,3/2014,9/28/2012,,,,x
T58,S - 19 lbs.,Cautery Supplies (Unsterile),No EXP,10/24/2012,,,,x
T59,S - 18 lbs.,"Skin Staplers (Unsterile, Open)",5/2014,10/24/2012,,,,x
T61,S - 18 lbs.,Unsterile Bovie/Cautery,No EXP,10/31/2012,,,,x
T62,L - 15 lbs.,Irrigation: Irrigation Trays (6); IV Pole Kit (19); Piston Syringes (104),4/2014,10/31/2012,,,,x
T63,S - 15.5 lbs.,Cautery Supplies: 55 Pencils; 4 Cords; 40 Tips; 32 Cleaners,4/2014,12/3/2012,,,,x
T64,L - 11.5 lbs.,34 Irrigation Trays; 4 Irrigation Sponges; 6 Unsterile Trays,4/2014,1/4/2013,,,,x
T65,S - 16 lbs.,Unsterile Skin Stapler,No EXP,1/11/2013,,,,x
T66,S - 14.5 lbs.,"Skin Markers, Pens, & Rulers",No EXP,2/6/2013,,,,x
T67,S - 16 lbs.,Cautery Pencils x65 Unsterile; Pads x10 Sterile,4/2014,2/6/2013,,,,x
T68,S - 14.5 lbs.,"Skin Markers, Rulers, & Pens",No EXP,2/6/2013,,,,x
T69,S - 18.5 lbs.,Laceration Kits,6/2017,2/6/2013,,,,x
T69,L - ??,??,,,,,,x
T70,S - 6.8 lbs.,Skin Markers,9/2014,4/26/2013,,,,x
T71,S - 12.2 lbs.,Cautery Supplies (Unsterile): Bovies; Tips; Etc.,No EXP,5/13/2013,,,,x
T72,S - 15.2 lbs.,Cautery Supplies: Bovies; Tips; Etc.,7/2014,5/13/2013,,,,x
T73,L - 10.8 lbs.,Irrigation Trays,No EXP,5/13/2013,,,,x
T74,L - 14.6 lbs.,Trauma Pack (Sterile),1/2015,6/4/2013,,,,x
T75,L - 17.6 lbs.,Surgical Packs (Sterile): 1 GYN; 2 Arthroscopic,3/2015,6/4/2013,,,,x
T76,,,,,,,,
T77,,,,,,,,
T78,,,,,,,,
T79,,,,,,,,
T80,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
