Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
CC80,L - ??,Covers (Plastic),,Clinton,,,,x
CC106,L - ??,??,,,,,,x
CC128,L - ??,Flat Sheets ripped,46,Clinton,,,,x
CC132,L - ??,Cysto/Basic Packs,"10, 5",Clinton,,,,x
CC156,L - ??,Back Table Cover (Big Case),12,Clinton,,,,x
CC181,L - ??,Raytex (Unsterile),,Clinton,,,,x
CC198,L - ??,Urometers,,Clinton,,,,x
CC285,L - ??,Sponges Unsterile,No EXP,1/27/2012,,,,x
CC295,L - ??,Sterile Drapes,No EXP,3/12/2012,,,,x
CC298,L - ??,Drapes (Unsterile),No EXP,3/23/2012,,,,x
CC299,L - ??,Medium Sterile Drapes,11/2015,4/5/2012,,,,x
CC303,L - ??,Sterile Drapes,2016,4/5/2012,,,,x
CC305,L - ??,Ortho Pack x8,1/2015,4/5/2012,,,,x
CC306,L - ??,Raytex (Unsterile),No EXP,4/12/2012,,,,x
CC309,L - ??,Surgical Drapes (Sterile),3/2015,4/23/2012,,,,x
CC312,L - ??,Sterile Drapes,12/2016,6/20/2012,,,,x
CC314,L - ??,Foam Sponges,No EXP,6/20/2012,,,,x
CC316,L - ??,Flap Pack,11/2013,7/3/2012,,,,x
CC317,L - ??,Surgical Drapes x30 (Sterile),7/2016,7/16/2012,,,,x
CC318,L - ??,Skin Prep,No EXP,8/13/2012,,,,x
CC319,L - 25 lbs.,Drapes (Sterile) x31,4/2014,8/30/2012,,,,x
CC320,L - 16 lbs.,"Surgical Packs: 1 Lap., 1 Assessory, 1 Prostate",1/2014,8/30/2012,,,,x
CC321,L - 17 lbs.,Surgical Packs: 2 Major,No EXP,8/30/2012,,,,x
CC322,L - 13 lbs.,"Surgical Packs: 1 Major Vaginal, 1 Dental","1/2015, 4/2015",8/30/2012,,,,x
CC323,L - 11 lbs.,Surgical Pack: Major GYN,8/2013,8/30/2012,,,,x
CC324,L - 13 lbs.,Surgical Pack: 1 Extreme,11/2013,8/30/2012,,,,x
CC325,L - 20 lbs.,"Surgical Packs: 1 Extreme, 1 General Lap.","4/2014, 2/2014",8/30/2012,,,,x
CC329,L - 20.5 lbs.,Liver Transplant Packs x2,No EXP,9/13/2012,,,,x
CC330,L - 17 lbs.,Surgical Packs: Gen. Form x1; Bowel x1; UofR GYN AB Kit x1,"9/2014, 7/2015",9/13/2012,,,,x
CC331,L - 21 lbs.,Plastic Free Flap x1,12/2013,9/13/2012,,,,x
CC332,L - 21 lbs.,Plastic Free Flap x1,11/2013,9/13/2013,,,,x
CC333,L - 23 lbs.,Plastic Free Flap x1,10/2014,9/13 /2012,,,,x
CC334,L - ??,"Arm Pillow x1; Vein Pack x1, Universal Pack",No EXP,9/17/2012,,,,x
CC335,L - 16 lbs.,Hip Pack x1,12/2013,9/17/2012,,,,x
CC336,L - 16 lbs.,UofR Major GYN AB Kit x1,12/2013,9/17/2012,,,,x
CC337,L - 15 lbs.,Chest (Heart) Pack x1,12/2013,9/18/2012,,,,x
CC338,L - 21 lbs.,Major x1; Lap. Drapes x8,"10/2014, 2/2016",9/18/2012,,,,x
CC339,L - ??,Foam Sponges,No EXP,9/18/2012,,,,x
CC340,L - 22 lbs.,Unsterile Raytex,No EXP,9/18/2012,,,,x
CC341,L - 25 lbs.,Sterile Surgical Drapes,2/2015,9/28/2012,,,,x
CC343,L - 9.5 lbs.,Dry Skin Prep Trays,No EXP,9/28/2012,,,,x
CC344,L - ??,Skin Prep (Sterile): Assorted,No EXP,9/28/2012,,,,x
CC345,L - 24 lbs.,Sterile Surgical Drapes x32,8/2014,9/28/2012,,,,x
CC346,S - 10 lbs.,ChloraPrep w/ Tint 26 ml.,1/2015,9/28/2012,,,,x
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
