Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
W110,L - ??,White Lab Coats; 80 Scrub Tops,No EXP,11/30/2011,,,,x
W111,L - ??,120 Scrub Tops,No EXP,11/30/2011,,,,x
W112,L - ??,100 Disposable Lab Coats,No EXP,12/22/2011,,,,x
W113,L - ??,18 XL Blue Gowns; 42 Yellow Insulation Gowns,No EXP,1/18/2012,,,,x
W114,L - ??,"Assorted Basins, Bowls, Pitchers",No EXP,1/18/2012,,,,x
W115,S - ??,30 Scrub Tops,No EXP,2/13/2012,,,,x
W116,S - ??,Sterilization Supplies,2/2014,2/22/2012,,,,x
W117,S - ??,Sterilization Supplies,No EXP,2/22/2012,,,,x
W118,L - ??,Paper Exam Table Covers,No EXP,2/27/2012,,,,x
W119,S - ??,23 Scrub Tops; 15 Scrub Bottoms,No EXP,2/28/2012,,,,x
W120,L - ??,17 Plastic Pitchers,No EXP,2/28/2012,,,,x
W122,L - ??,"Sterilization Wraps, Tape",No EXP,4/5/2012,,,,x
W124,S - ??,White Lab Coats,No EXP,4/18/2012,,,,x
W124 *DUPE*,S - ??,White Lab Coats; 6 Boxes Unsterile Vinyl Gloves,No EXP,4/18/2012,,,,x
W125,S - ??,Lab Coats,No EXP,4/18/2012,,,,x
W126,L - ??,Lab Coats,No EXP,4/18/2012,,,,x
W127,L - ??,Sheets x50,No EXP,5/7/2012,,,,x
W128,S - ??,9 White Cloth Lab Coats,No EXP,6/20/2012,,,,x
W129,L - ??,Bedding Linens,No EXP,7/3/2012,,,,x
W130,L - ??,Bed Pillows,No EXP,8/30/2012,,,,x
W133,L - 19 lbs.,Scrubs Tops x50; Scrub Bottoms x50,No EXP,9/17/2012,,,,x
W134,L - 19.5 lbs.,Scrubs Tops x50; Scrub Bottoms x50,No EXP,9/17/2012,,,,x
W136,L - ??,Patient Gowns: 10 Packs,1/2016,10/21/2012,,,,x
W136 *DUPE*,S - 12 lbs.,"Sterile Towels (4 Boxes of 50 18""x26"")",No EXP,10/21/2012,,,,x
W137,S - 9 lbs.,"150 Sterile Towels 18""x26"" Fenestrated x2.75""",No EXP,10/21/2012,,,,x
