Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
A32,L - ??,Drapers,,Clinton,,,,x
A33,S - ??,Endoscopy,4/2012,,,,,x
A40,L - ??,Autoscopy Kit,No EXP,1/18/2012,,,,x
A45,L - ??,Dental Mix,2015,3/23/2012,,,,x
A46,S - ??,Dental Exam Capes,No EXP,5/23/2012,,,,x
A47,S - ??,Dental Exam Capes,No EXP,5/23/2012,,,,x
A48,L - 19 lbs.,OB Supplies,6/2014,10/21/2012,,,,x
A48,L - ??,??,,,,,,x
A49,L - 23 lbs.,OB/GYN Supplies,1/2014,10/21/2012,,,,x
A50,L - 22.5 lbs.,Pediatric Chest Drains,06/2016,10/24/2012,,,,x
A51,S - 7 lbs.,Pediatric Multivent Oxygen Masks,No EXP,10/25/2012,,,,x
A54,L - 17 lbs.,Pediatric Respiratory Supplies: Breathing Circuits (14); O2 Masks (45); Suction Catheters; Tracheostomy Tubes,2/2014,10/31/2012,,,,x
A55,L - 20 lbs.,Pediatric Supplies: Umbilical Clamps; Tape Measures; Nipples; Feeding Bottles; Electrodes (6 Bags),2/2014,10/31/2012,,,,x
A56,S - 6 lbs.,OB/GYN: Sterile Swabs,3/2016,10/31/2012,,,,x
A57,S - 6.5 lbs.,OB/GYN: Sterile Swabs,11/2016,10/31/2012,,,,x
A58,S - 8 lbs.,OB/GYN: Sterile Swabs (~2000),8/2016,10/31/2012,,,,x
A59,S - 7 lbs.,OB/GYN: Sterile Swabs (~1800),1/2016,10/31/2012,,,,x
A60,S - 9.5 lbs.,Pediatric Nebulizers: 23 Neb-U-Mask Systems,No EXP,11/2/2012,,,,x
A61,S - 5.5 lbs.,Pediatric Nebulizers w/ Mask (45),No EXP,11/2/2012,,,,NO
A62,L - 19.0 lbs.,GYN Mix,5/2014,11/19/2012,,,,x
A62,S - 5.5 lbs.,Pediatric Nebulizer w/ Masks,No EXP,11/19/2012,,,,x
A63,L - 17 lbs.,Pediatric Diapers (Preemie & Small),No EXP,11/19/2012,,,,x
A64,L - 16.5 lbs.,23 Pediatric Breathing Circuits,No EXP,11/26/2012,,,,x
