Box Number,Box Size & Weight,Contents,Exp date,Date entered,Reserved For,Shipped To,Date Shipped,
H143,,Dressing Changes,1000,Clinton,CF,CF,CF,
H215,,unsterile dressings,,Clinton,,,,
H226,,steril dressings  ex 9/12,,,,,,
H239,,unsterile dressings,no exp,11/18/2011,,,,
H241,,Central line care kits+extra masks,no exp,12/13/2011,,,,
H242,,"Misc. (dressing,Proforce packing strips ,unibotts",exp 10/20/13,12/20/2011,,,,
H248,,Unsterile dressings lrg absorbable,2014,2/22/2012,,,,
H250,,Sterile Dressings,12/2016,2/27/2012,,,,
H252,,Dressings (UNSTERILE),No exp,3/1/2012,,,,
H268,,Dressings (sterile),2/2014,5/29/2012,,,,
H269,,Dressings (unsterile),No exp,6/20/2012,,,,
H273,,Dressing sterile assorted x 16.5lbs,earliest 07/2014,10/1/2012,,,,
H275,,"Unna boot, coban X 55",no exp,10/8/2012,,,,
H276,,"Unsterile dressings-tubular retainer net, ABD, 2x2,4x4 18.0 lbs.",no exp.,10/8/2012,,,,
H278,,Sterile dressing  ABD 4x4 sterile 14.5lbs,exp 08/2015,10/17/2012,,,,
H279,,Unsterile dressing 14.5lbs,no exp,10/17/2012,,,,
H280,?? - 12.5lbs,Oxygen Tubing (Unsterile),,10/23/2012,,,,
H281,?? - 10lbs,60 Oxygen Nasal Cannula (Unsterile),no exp,10/23/2012,,,,
H282,?? - 22lbs,Respiratory Mix,earyiest 3/2014,10/23/2012,,,,
H283,?? - 18lbs,Respiratory Mix,no exp,10/23/2012,,,,
H284,?? - 14lbs,Oxygen Tubing,no exp,10/25/2012,,,,
H285,?? - 10lbs,Flexible Blue Oxygen Tubing,no exp,10/25/2012,,,,
H286,?? - 8lbs,Flexible Blue Oxygen Tubing,no exp,10/30/2012,,,,
H287,?? - 10lbs,Flexible Blue Oxygen Tubing,no exp,10/30/2012,,,,
H288,?? - 14lbs,Oxygen Tubing,no exp,10/30/2012,,,,
H289,?? - 10lbs,Oxygen Nasal Cannulas x76,no exp,10/30/2012,,,,
H290,L - 20lbs,Ambu Bags (Infant/Peds) x40,no exp,11/1/2012,Bongolo Hospital,Bongolo Hospital,3/13/2013,
H291,S - 15.5lbs,Oxygen Tubing (Unsterile),no exp,11/18/2012,,,,
H292,S - 10lbs.,70 O2 Nasal Cannula (Unsterile),no exp,11/18/2012,,,,
H293,S - 10lbs.,1 Nebulizer Machine +25 Nebulizers,no exp,11/18/2012,,,,
H294,L - 13lbs,12 Ambu Bags (Adult) non sterile,no exp,11/18/2012,,,,
H295,L   15.5lbs,"Ambu bags 23 infant, 9  pedatric",no exp,11/19/2012,,,,
H296,L  10lbs,Tubing - Respiratory/Anesthesia,no exp,11/19/2012,,,,
H297,L27lbs,60 Respratory Oxygen Tubing,non sterile no exp,11/26/2012,,,,
H298,L 9lbs,Tubing corrugated Flex,non sterile  no exp,11/26/2012,,,,
H299,L 16lbs,"31 Humidifiers 210 Humid Vent ,Condensor Humidifier",exp-06/2015,12/2/2012,,,,
H300,L 18lbs,Respirator Mix non sterile,no exp,12/2/2012,,,,
H301,S 8lbs,30 Oxygen Masks,no exp,12/2/2012,,,,
H302,S 9.5lbs,75 Oxygen Nasal Cannulas,no exp,12/2/2012,,,,
H303,S 9lbs,40 Adult oxygen masks,non sterile no exp,1/3/2013,,,,
H304,S 9.5lbs,70 Oxygen nasal/cannula masks,non sterile no exp,1/3/2013,,,,
H305,S 10LBS,70 Oxygen Nasal/cannaula Masks,non sterile no exp,1/3/2013,,,,
H306,S 5lbs,350 Tubing Connectors,exp 9/2016,1/7/2013,,,,
H307,S 5lbs,400 Straight Tubing Connectors,exp 9/2016,1/10/2013,,,,
H308,S 5lbs,400 Straight Tubing Connectors,exp 9/2016,1/10/2013,,,,
H309,L 15lbs,Ambu Pediatric x 25,non sterile no exp,1/10/2013,,,,
H310,L 5lbs,400 Straight Tubing Connecters,exp 9/2016,1/10/2013,,,,
H311,L 24lbs,"Nebulizers ( 42 hand held 36 masks , 9 tubing , 1 bag of mouth pieces",no exp,1/15/2013,,,,
H312,S 28lbs,Oxygen Guages @ regulators,noexp,2/5/2013,,,,
H313,L 15lbs,14 Adult Ambu Bags,no exp,2/5/2013,,,,
H314,S 11.5 lbs,oxygen tubing,no exp,2/6/2013,,,,
H315,S 12 lbs,oxygen tubing,no exp,2/6/2013,,,,
H316,S 11 lbs,nasal cannula,no exp,2/6/2013,,,,
H317,S 6 lbs,"airways, unstrile",no exp,2/10/2013,,,,
H318,L 16lbs,Ambu Bags Peadiatric x 20,non sterile no exp,2/26/2013,,,,
H319,L 23lbs,Oxygen Tubing,exp 07/2017,3/14/2013,,,,
H320,S 13.5lbs,2 Nebulizers with Tubing,no exp,3/14/2013,,,,
H321,L - 20.5 lbs.,Ambu Bags (pediatric) x 26,No EXP,3/25/2013,,,,
H322,L  - 13.0 lbs.,Ambu-Bags (adult) x 12,No EXP,###############################################################################################################################################################################################################################################################,,,,
H323,L - 20.0 lbs.,60 O2 Masks; 50 Nasal Cannula; 40 Biflo Masks,No EXP,4/9/2013,,,,
H324,L 24 lbs.,"adult oxygen masks with tubing, #100",no exp,4/25/2013,,,,
H323,L 22.4 lbs,Oxygen masks,no exp,4/25/2013,,,,
H324,L 10.6 lbs,"Ambu bags, infant/child",no exp,4/25/2013,,,,
H325,L 18.8 lbs,"CPAP masks, supplies, 1 machine",no exp,4/25/2013,,,,
H326,L 13.4 lbs,"CPAP, nasal and full masks",no exp,4/25/2013,,,,
H327,L 16.6 lbs,"Ambu bags, adult, #14",no exp,4/25/2013,,,,
H328,L 14.8,Humidifiers for nebulizers,no exp,6/2/2013,,,,
H329,L 18.2,"O2 masks, nasal cannulas, tracheostomy masks",no exp,7/10/2013,,,,
H330,L 12.4,"Ambu bags 11 adult, 5 manual resusitators",no exp,7/10/2013,,,,
H331,L 24.2,O2 tubing,no exp,7/10/2013,,,,
H332,L 18.2,"Respiratory mix- Connectors, filters etc",no exp,7/10/2013,,,,
H333,L 19.8,"Respiratory mix- Aero chambers, spriometers, peak flow meters",no exp,7/10/2013,,,,
H334,L - 20.4 lbs.,Respiratory mix,No EXP,8/6/2013,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
