Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
BB62,L - ??,Syringes 20-60 cc.,Clinton,,,,,x
BB64,L - ??,Syringes 1-3 cc.,Clinton,,,,,x
BB83,L - ??,30 Injection Trays,9/2014,1/4/2012,,,,x
BB89,L - ??,"Insulin Syringes, Insulin Slip Tip, 1 cc Slip Tip Syringes",7/2015,2/27/2012,,,,x
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
