Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
P65,L - ??,"48 Suction Canister (1500cc., Rigid)",No EXP,3/7/2012,,,,x
P67,L - ??,Halter Monitor Holders,No EXP,4/30/2012,,,,x
P68,L - ??,EKG Electrodes,No EXP,5/18/2012,,,,x
P71,L - 12 lbs.,Sharps Containers: 5 Med.; 12 Sm.,No EXP,11/19/2012,,,,x
P72,L - 16 lbs.,Sharps Containers (Biohazard): 3 Lg.; 39 Sm.,No EXP,11/19/2012,,,,x
P73,L - 16 lbs.,Sharps Containers: 3 Lg.; 4 Med.; 11 Biohazard,No EXP,11/19/2012,,,,x
P74,L - 11.25 lbs.,3cc. Syringes (400),11/2014,11/26/2012,,,,x
P75,L - 18 lbs.,"Angiocaths: Gauges 14,16,18,20,22,24 (Sterile)",5/2015,12/3/2012,,,,x
P76,L - 16 lbs.,23G Safety Glide Needles (24 boxes of 50),12/2014,1/18/2013,,,,x
P77,S - 6 lbs.,23G Safety Glide Needles (9 boxes of 50),12/2014,1/18/2013,,,,x
P78,L - 15.5 lbs.,Biopsy: Punch x123; Needle x123; Jomshidi/Bone x38; Kits x6,4/2014,1/19/2013,,,,x
P79,L - 21 lbs.,Sterile Needles,2/2014,1/28/2013,,,,x
P80,L - 16 lbs.,Sterile Needles,10/2014,2/7/2013,,,,x
P81,L - 18 lbs.,Sterile Needles,1/2016,3/15/2013,,,,x
P82,L - 16.8 lbs.,"Needles: 23Gx1""; 18Gx1""",4/2014,###############################################################################################################################################################################################################################################################,,,,x
P83,L - 18.6 lbs.,"Needles: 23Gx1""",5/2014,4/1/2013,,,,x
P85,L - 27 lbs.,Insulin Syringes: 325 Pkgs. of 10,No EXP,4/12/2013,,,,x
P86,L - 26 lbs.,Insulin Syringes: 300 Pkgs. of 10,No EXP,4/12/2013,,,,x
P87,L - 16 lbs.,5ml. Syringes (Sterile) x900,No EXP,4/12/2013,,,,x
P88,L - 14 lbs.,5ml. Syringes (Sterile) x900,No EXP,4/12/2013,,,,x
P89,S - 5 lbs.,Medtronics Paradym Soft Sets,1/2015,4/12/2013,,,,x
P90,L - 23.4 lbs.,Needles: Assorted Sizes (Sterile),2/2017,6/4/2013,,,,x
P91,L - 28.2 lbs.,Angio-Caths (Assorted),05/2014,8/7/2013,,,,x
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
